HostSampleID	phylum_Actinobacteria	phylum_Bacteroidetes	phylum_Cyanobacteria.Chloroplast	phylum_Firmicutes	phylum_Fusobacteria	phylum_Proteobacteria	phylum_unclassified_Bacteria	class_Actinobacteria	class_Alphaproteobacteria	class_Bacilli	class_Bacteroidia	class_Betaproteobacteria	class_Chloroplast	class_Clostridia	class_Flavobacteria	class_Fusobacteria	class_Gammaproteobacteria	class_Negativicutes	class_unclassified_Bacteria	order_Actinomycetales	order_Bacillales	order_Bacteroidales	order_Burkholderiales	order_Clostridiales	order_Enterobacteriales	order_Flavobacteriales	order_Fusobacteriales	order_Lactobacillales	order_Neisseriales	order_Pasteurellales	order_Pseudomonadales	order_Rhizobiales	order_Selenomonadales	order_unclassified_Bacteria	order_unclassified_Chloroplast	family_Actinomycetaceae	family_Bacillaceae.1	family_Bacillales_Incertae.Sedis.XI	family_Carnobacteriaceae	family_Chloroplast	family_Clostridiales_Incertae.Sedis.XI	family_Comamonadaceae	family_Corynebacteriaceae	family_Enterobacteriaceae	family_Flavobacteriaceae	family_Fusobacteriaceae	family_Lachnospiraceae	family_Micrococcaceae	family_Moraxellaceae	family_Neisseriaceae	family_Pasteurellaceae	family_Porphyromonadaceae	family_Prevotellaceae	family_Propionibacteriaceae	family_Staphylococcaceae	family_Streptococcaceae	family_Veillonellaceae	family_unclassified_Actinomycetales	family_unclassified_Bacteria	genus_Actinomyces	genus_Anaerococcus	genus_Corynebacterium	genus_Dolosigranulum	genus_Finegoldia	genus_Fusobacterium	genus_Gemella	genus_Granulicatella	genus_Neisseria	genus_Peptoniphilus	genus_Porphyromonas	genus_Prevotella	genus_Propionibacterium	genus_Rothia	genus_Staphylococcus	genus_Streptococcus	genus_Streptophyta	genus_Veillonella	genus_unclassified_Actinomycetales	genus_unclassified_Bacteria	genus_unclassified_Neisseriaceae
ZM7JY3G-09	0.775253771	0.00020769	0	0.220125133	0	0.001324022	0.003089384	0.775253771	0.001116332	0.18777746	0.00020769	2.60E-05	0	0.031958254	0	0	0.000181728	5.19E-05	0.003089384	0.775098004	0.187310159	0.00020769	0	0.031958254	0.000103845	0	0	0.000467302	2.60E-05	7.79E-05	0	0.000882681	5.19E-05	0.003089384	0	0	0.002310548	0	0	0	0.028765025	0	0.496326488	0.000103845	0	0	0.002725927	0.000129806	0	2.60E-05	7.79E-05	0.00020769	0	0.274643682	0.184999611	2.60E-05	5.19E-05	0.003998027	0.003089384	0	0.027389081	0.496326488	0	0	0	0	0	0	0.001375944	0.00020769	0	0.274643682	0.000129806	0.184999611	2.60E-05	0	0	0.003998027	0.003089384	2.60E-05
ZM7JY3G-10	0.509241124	0.003489904	0	0.479754994	0.004166518	0.002457177	0.000249279	0.509241124	0.000320501	0.440404544	0.001994231	0.001210783	0	0.036465938	0.001495673	0.004166518	0.000747837	0.002884513	0.000249279	0.509205513	0.433317902	0.001994231	0	0.036465938	0	0.001495673	0.004166518	0.007086642	0.001210783	0	0.000605392	0.000320501	0.002884513	0.000249279	0	0.000747837	0.000605392	0.001139561	0.000890282	0	0.035860546	0	0.362237812	0	0.001495673	0.001566896	0	0.000356113	3.56E-05	0.001210783	0	0.001246394	0.000747837	0.131619244	0.43157295	0.005590969	0.002884513	0.013995228	0.000249279	0.000747837	0.032726755	0.362237812	0	0	0.001566896	0.001139561	0.00056978	0.000356113	0.003133792	0.001246394	0.00056978	0.13094263	0.000249279	0.43157295	0.005590969	0	0.0025284	0.013995228	0.000249279	0.000391724
ZM7JY3G-11	0.477607277	0.001415051	0	0.51678765	0.000312414	0.003381421	0.000496187	0.477607277	0.000863732	0.45206285	0.000937242	0.002113388	0	0.064467518	0	0.000312414	0.000385923	1.84E-05	0.000496187	0.477533768	0.450758063	0.000937242	0.001415051	0.064467518	9.19E-05	0	0.000312414	0.001304787	0.000294037	0	0.000165396	0.000459432	1.84E-05	0.000496187	0	0.0004043	0	0	3.68E-05	0	0.061857944	0.001047505	0.408968115	9.19E-05	0	0.000183773	0.00067996	0.000588073	0	0.000294037	0	0.000808601	0.000128641	0.064302123	0.450206744	0.000918864	1.84E-05	0.002921988	0.000496187	0.0004043	0.048773316	0.408968115	3.68E-05	0.001653956	0.000183773	0	0	1.84E-05	0.011430672	0.000808601	0.000128641	0.064302123	0.000588073	0.450206744	0.000918864	0	1.84E-05	0.002921988	0.000496187	0.000238905
ZM7JY3G-12	0.474680131	0.146306191	0.000563753	0.189028874	0.00220599	0.137433208	0.005196333	0.474680131	0.063753125	0.16870925	0.005490465	0.073263395	0.000563753	0.01632433	0	0.00220599	0.000416687	0.003995294	0.005196333	0.471444679	0.13993333	0.005490465	0.066571891	0.01632433	4.90E-05	0	0.00220599	0.02877592	0.00634835	7.35E-05	0.000294132	0.021814795	0.003995294	0.005196333	0.000563753	0.000392176	0	0.001029462	0.002230501	0.000563753	0.015245845	0.063826658	0.298495024	4.90E-05	0	0.001446149	0.000857885	0.000857885	0	0.00634835	7.35E-05	0.003308986	0.002181479	0.125006128	0.136992009	0.026545419	0.003995294	0.004926712	0.005196333	0.000392176	0.012525124	0.298495024	0	0	0.001446149	0.001029462	0.002230501	0.005882641	0.002720722	0.003308986	0.001201039	0.097921467	0.000857885	0.136992009	0.026545419	0.000563753	0.003995294	0.004926712	0.005196333	0.000465709
ZM7JY3G-13	0.50369917	0.00125119	0.000639195	0.492928057	9.52E-05	0.001387189	0	0.50369917	0	0.440350877	0.00125119	0.001373589	0.000326397	0.052413981	0	9.52E-05	1.36E-05	1.36E-05	0	0.503658371	0.439371685	0.00125119	0	0.052413981	0	0	9.52E-05	0.000979192	0.001373589	0	1.36E-05	0	1.36E-05	0	0.000326397	0.000190398	0	0	6.80E-05	0.000326397	0.051992384	0	0.347096423	0	0	0	0	0.000122399	1.36E-05	0.001373589	0	0.00125119	0	0.153420373	0.439371685	0.000611995	1.36E-05	0.002828777	0	0.000190398	0.047776418	0.347096423	6.80E-05	0	0	0	0	0.001373589	0.004215966	0.00125119	0	0.153420373	0.000122399	0.439371685	0.000611995	0.000326397	0	0.002828777	0	0
ZLZQMEV-01	0.717186417	0.025329175	0.000970201	0.202009702	0.014656965	0.034719335	0.000589051	0.717186417	0.00031185	0.138565489	0.017671518	0.025571726	0.000970201	0.047435897	0.007657658	0.014656965	0.005613306	0.015557866	0.000589051	0.716008316	0.11011781	0.017671518	0.002633403	0.047435897	0.00010395	0.007657658	0.014656965	0.028447678	0.022938323	0.001663202	0.001732502	0.0002079	0.015557866	0.000589051	0.000970201	0.002979903	0	0.001559252	0.001732502	0.000970201	0.036763687	0.001697852	0.177027027	0.00010395	0.007657658	0.006930007	0.006202356	0.000623701	0.001524602	0.022938323	0.001663202	0.008004158	0.006930007	0.342966043	0.108558559	0.025987526	0.015557866	0.191926542	0.000589051	0.002979903	0.012543313	0.176923077	0.00010395	0.003707554	0.006930007	0.001559252	0.001628552	0.008212058	0.01992377	0.007484407	0.006548857	0.342966043	0.000623701	0.108454608	0.025779626	0.000970201	0.013201663	0.191926542	0.000589051	0.013548164
ZLZQMEV-04	0.738074658	0.003308843	0.002957701	0.221543947	0.000661769	0.032197072	0.000378154	0.738074658	0.001904273	0.157014748	0.003065745	0.026578791	0.002957701	0.063556804	0.000162066	0.000661769	0.003038734	0.00068878	0.000378154	0.737777538	0.153179191	0.003065745	0.001647669	0.063556804	0.000243099	0.000162066	0.000661769	0.003835557	0.024931122	0.00068878	0.001647669	0.000783318	0.00068878	0.000378154	0.002957701	0.000256604	0	0.00041867	0.000472692	0.002957701	0.06051807	0.000243099	0.215750095	0.000243099	0.000162066	0.000432175	0.001661174	0.000256604	0.000607747	0.024931122	0.00068878	0.000769813	0.001161472	0.287261628	0.152598455	0.002903679	0.000648263	0.233037113	0.000378154	0.000256604	0.015693372	0.215736589	0.000162066	0.007779158	0.000432175	0.00041867	0.000310626	0.000459186	0.036910486	0.000675274	0.001147966	0.28716709	0.000121549	0.152571444	0.002647075	0.002957701	0.000391659	0.233037113	0.000378154	0.024390903
ZLZQMEV-07	0.532101202	0.001291943	0.002117352	0.433698188	0.000143549	0.029642921	0.000610084	0.532101202	0.000610084	0.208541181	0.000502422	0.028889288	0.002117352	0.223147317	0.000645972	0.000143549	0.000143549	0.001973802	0.000610084	0.532065315	0.194509241	0.000502422	0.000610084	0.223147317	0	0.000645972	0.000143549	0.01403194	0.028279203	0.000107662	0	0.000287099	0.001973802	0.000610084	0.002117352	0.000322986	0.000251211	0.000107662	0.009833124	0.002117352	0.222609008	0.000574197	0.245182128	0	0.000645972	0.000107662	3.59E-05	0.000825408	0	0.028279203	0.000107662	0.000251211	0.000251211	0.209438364	0.194150368	0.003660506	0.001973802	0.075794007	0.000610084	0.000251211	0.076870626	0.245074466	0.009797237	0.01015611	0.000107662	0.000107662	0	0.001148394	0.135546384	0.000215324	0.000251211	0.209402476	0.000610084	0.194114481	0.003660506	0.00200969	0.000574197	0.075794007	0.000610084	0.02698726
ZLZQMEV-08	0.363915797	0.001210879	0	0.626769747	9.31E-05	0.007637854	9.31E-05	0.363915797	9.31E-05	0.580570045	0.000838301	0.007265276	0	0.0445231	0.000372578	9.31E-05	0.000279434	0.001676602	9.31E-05	0.363915797	0.286512668	0.000838301	9.31E-05	0.0445231	0	0.000372578	9.31E-05	0.294057377	0.007172131	9.31E-05	0	0	0.001676602	9.31E-05	0	9.31E-05	0	9.31E-05	0.29349851	0	0.044150522	9.31E-05	0.203986587	0	0.000372578	9.31E-05	0.000279434	9.31E-05	0	0.007172131	9.31E-05	0.000652012	0.000186289	0.136829359	0.286419523	0.000465723	0.001676602	0.022727273	9.31E-05	9.31E-05	0.019653502	0.203986587	0.293312221	0.002142325	9.31E-05	9.31E-05	0.000186289	9.31E-05	0.022354694	0.000558867	0.000186289	0.136829359	0	0.286326379	0.000465723	0	9.31E-05	0.022727273	9.31E-05	0.006426975
ZLZQMEV-09	0.541370974	0.000935818	0.002105592	0.436715277	0.001091788	0.017780551	0	0.541370974	0.000467909	0.245730328	0.000389924	0.016688762	0.002105592	0.187787569	0.000545894	0.001091788	0.000233955	0.00319738	0	0.541370974	0.241285191	0.000389924	0.000623879	0.187787569	0	0.000545894	0.001091788	0.004445138	0.015986899	0	7.80E-05	0.000389924	0.00319738	0	0.002105592	0.000233955	0.000623879	0.000233955	0.002027607	0.002105592	0.18731966	0.000389924	0.22381658	0	0.000545894	0.000857834	0.000311939	0	0	0.015986899	0	0.00015597	0.00015597	0.256726195	0.240427357	0.001247758	0.00319738	0.06020432	0	0.000233955	0.083131872	0.22381658	0.001949622	0.012945489	0.000857834	0.000233955	7.80E-05	0.000857834	0.091086329	0.00015597	0.00015597	0.256726195	0	0.240349372	0.001013803	0.002105592	0.000233955	0.06020432	0	0.01505108
ZLZQMEV-10	0.724787632	0.001046741	0	0.245420508	0.0005435	0.027819155	8.05E-05	0.724787632	0.000342204	0.106626676	0.001026611	0.027175007	0	0.132956238	2.01E-05	0.0005435	0.000281815	0.004931761	8.05E-05	0.724445429	0.105036435	0.001026611	0.001006482	0.132956238	0.000201296	2.01E-05	0.0005435	0.001590241	0.026168525	2.01E-05	0	0	0.004931761	8.05E-05	0	0.000301945	0	0.000161037	0.000100648	0	0.132231571	0.000281815	0.264704698	0.000201296	2.01E-05	0.0005435	0	6.04E-05	0	0.026168525	2.01E-05	2.01E-05	0.000140907	0.388260397	0.103607231	0.000805185	0.004931761	0.068179073	8.05E-05	0.000261685	0.05954346	0.264020291	6.04E-05	0.011473892	0.0005435	0.000161037	4.03E-05	2.01E-05	0.059664238	2.01E-05	0.000140907	0.388059101	6.04E-05	0.103607231	0.000805185	0	0.000422722	0.068179073	8.05E-05	0.026148396
ZLZQMEV-1011	0.621865489	0.005144504	0.000107738	0.360977186	0.000215477	0.010073531	0.000727234	0.621865489	0.000754168	0.254450939	0.004686616	0.007164597	0.000107738	0.103805856	0.000457888	0.000215477	0.001750747	0.002316374	0.000727234	0.621542274	0.252700191	0.004686616	0.000565626	0.103805856	0.000484822	0.000457888	0.000215477	0.001750747	0.006598971	0.000215477	0.000700299	0.000457888	0.002316374	0.000727234	0.000107738	0.00029628	0	0.000134673	0.000161607	0.000107738	0.096129501	0.000107738	0.177310313	0.000484822	0.000457888	0.000215477	0.004094056	0.000107738	5.39E-05	0.006598971	0.000215477	0.000430953	0.001643009	0.253669836	0.252511649	0.000511757	0.002127831	0.18988876	0.000727234	0.00029628	0.042098742	0.177310313	0	0.013575026	0.000215477	0.000134673	0.000161607	0.00029628	0.040455733	0.000107738	0.001562205	0.253669836	5.39E-05	0.252511649	0.000511757	0.000107738	0.000107738	0.18988876	0.000727234	0.006302691
ZLZQMEV-1012	0.625383688	0.003508003	0.000191844	0.358939925	0.00117847	0.009372945	0.000246656	0.625383688	0.000712563	0.293822627	0.00345319	0.005947161	0.000191844	0.061910765	5.48E-05	0.00117847	0.002411752	0.002905065	0.000246656	0.625027406	0.290369437	0.00345319	0.001123657	0.061910765	0.000328875	5.48E-05	0.00117847	0.00345319	0.004823504	0.000520719	0.000767376	0.000164438	0.002905065	0.000246656	0.000191844	0.000602938	0	0.000465907	0.0004385	0.000191844	0.059910107	0.000383688	0.252356939	0.000328875	5.48E-05	0.000739969	0.000767376	0.000328875	0.000274063	0.004823504	0.000520719	0.001589564	0.001452532	0.246656435	0.28990353	0.002576189	0.002905065	0.124725937	0.000246656	0.000602938	0.012771322	0.252356939	0.000109625	0.012963166	0.000739969	0.000465907	0.000328875	0.000383688	0.034175619	0.001233282	0.001452532	0.246656435	0.000137031	0.28968428	0.002384346	0.000191844	0.000685157	0.124725937	0.000246656	0.004385003
